R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
54,71,42,6,1,128.57,27,3,1,4,0,0,35
54,59,45,6,1,120,27,3,1,4,0,0,35
53,79,44,6,1,120.45,26.5,3,1,4,0,0,34.5
53,63,45,6,1,117.77,26.5,3,1,4,0,0,34.5
52,60,40,6,1,130,26,3,1,4,0,0,34
51,56,42,6,1,121.42,25.5,3,1,4,0,0,33.5
51,47,28,6,1,182.14,25.5,3,1,4,0,0,33.5
46,39,30,6,1,153.33,23,3,1,0,0,0,27
45,38,21,6,1,214.28,22.5,3,1,0,0,0,26.5
44,45,30,6,1,146.66,22,3,1,0,0,0,26
43,40,30,6,1,143.33,21.5,3,1,0,0,0,25.5
43,42,28,6,1,153.57,21.5,3,1,0,0,0,25.5
42,34,25,6,1,168,21,3,1,0,0,0,25
40,39,26,6,1,153.84,20,3,1,0,0,0,24
39,26,17,6,1,229.41,19.5,3,1,0,0,0,23.5
37,19,21,6,1,176.19,18.5,3,1,0,0,0,22.5
36,32,19,6,1,189.47,18,3,1,0,0,0,22
34,11,10,6,1,340,17,3,1,0,0,0,21
34,18,16,6,1,212.5,17,3,1,0,0,0,21
34,33,17,6,1,200,17,3,1,0,0,0,21
60,75,58,6,0,103.44,30,3,0,4,0,0,37
58,69,44,6,0,131.81,29,3,0,4,0,0,36
58,67,43,6,0,134.88,29,3,0,4,0,0,36
55,79,50,6,0,110,27.5,3,0,4,0,0,34.5
55,62,41,6,0,134.14,27.5,3,0,4,0,0,34.5
54,85,45,6,0,120,27,3,0,4,0,0,34
52,67,39,6,0,133.33,26,3,0,4,0,0,33
52,57,39,6,0,133.33,26,3,0,4,0,0,33
50,59,44,6,0,113.63,25,3,0,4,0,0,32
49,77,40,6,0,122.5,24.5,3,0,0,0,0,27.5
47,64,38,6,0,123.68,23.5,3,0,0,0,0,26.5
47,48,34,6,0,138.23,23.5,3,0,0,0,0,26.5
47,104,40,6,0,117.5,23.5,3,0,0,0,0,26.5
45,45,32,6,0,140.62,22.5,3,0,0,0,0,25.5
44,49,35,6,0,125.71,22,3,0,0,0,0,25
42,58,32,6,0,131.25,21,3,0,0,0,0,24
41,61,27,6,0,151.85,20.5,3,0,0,0,0,23.5
41,45,30,6,0,136.66,20.5,3,0,0,0,0,23.5
41,33,31,6,0,132.25,20.5,3,0,0,0,0,23.5
40,49,40,6,0,100,20,3,0,0,0,0,23
37,36,33,6,0,112.12,18.5,3,0,0,0,0,21.5
35,49,29,6,0,120.68,17.5,3,0,0,0,0,20.5
35,47,23,6,0,152.17,17.5,3,0,0,0,0,20.5
34,37,31,6,0,109.67,17,3,0,0,0,0,20
30,30,22,6,0,136.36,15,3,0,0,0,0,18
1,87.5,2,6,0,0,0.5,3,0,0,0,-3,0.5
109,94,55,5,8,198.18,54.5,2.5,8,4,8,0,77
77,60,38,5,7,202.63,38.5,2.5,7,4,0,0,52
82,89,59,5,6,138.98,41,2.5,6,4,0,0,53.5
73,57,41,5,6,178.04,36.5,2.5,6,4,0,0,49
72,39,34,5,6,211.76,36,2.5,6,4,0,0,48.5
64,33,24,5,6,266.66,32,2.5,6,4,0,0,44.5
82,64,42,5,5,195.23,41,2.5,5,4,0,0,52.5
81,75,47,5,5,172.34,40.5,2.5,5,4,0,0,52
80,77,41,5,5,195.12,40,2.5,5,4,0,0,51.5
79,80,47,5,5,168.08,39.5,2.5,5,4,0,0,51
76,57,42,5,5,180.95,38,2.5,5,4,0,0,49.5
75,81,45,5,5,166.66,37.5,2.5,5,4,0,0,49
73,64,43,5,5,169.76,36.5,2.5,5,4,0,0,48
69,53,37,5,5,186.48,34.5,2.5,5,4,0,0,46
65,68,34,5,5,191.17,32.5,2.5,5,4,0,0,44
60,37,26,5,5,230.76,30,2.5,5,4,0,0,41.5
77,65,43,5,4,179.06,38.5,2.5,4,4,0,0,49
71,54,46,5,4,154.34,35.5,2.5,4,4,0,0,46
69,70,43,5,4,160.46,34.5,2.5,4,4,0,0,45
68,59,39,5,4,174.35,34,2.5,4,4,0,0,44.5
