,BATSMEN,R,M,B,4s,6s,SR
509,SAYadav,0,7,2,0,0,0
511,CHGayle,21,21,9,0,3,233.33
512,VKohli(c),34,37,20,2,3,170
513,ABdeVilliers,2,4,4,0,0,50
514,MandeepSingh,45,23,18,4,3,250
515,DWiese,9,12,7,0,0,128.57
516,DAWarner(c),61,41,28,11,1,217.85
517,SDhawan,37,60,32,4,0,115.62
518,MCHenriques,19,8,9,1,2,211.11
519,EJGMorgan,32,48,27,1,2,118.51
520,NVOjha?Çá,20,17,12,3,1,166.66
521,AAshishReddy,6,5,6,1,0,100
522,GHVihari,8,12,5,1,0,160
523,KVSharma,4,1,2,1,0,200
525,DRSmith,21,24,19,3,1,110.52
526,BBMcCullum,12,8,5,3,0,240
527,SKRaina,23,27,15,0,3,153.33
528,FduPlessis,33,36,22,4,0,150
529,MSDhoni(c)?Çá,20,26,16,2,0,125
530,PNegi,15,22,11,1,1,136.36
531,DJBravo,25,36,20,3,0,125
532,RAJadeja,14,15,12,0,0,116.66
533,LMPSimmons,71,85,56,9,1,126.78
534,PAPatel?Çá,59,50,36,5,3,163.88
535,RGSharma(c),26,25,20,2,0,130
536,KAPollard,7,11,7,0,0,100
537,ATRayudu,4,2,1,1,0,400
539,MVijay,39,51,34,3,1,114.7
540,VSehwag,2,5,5,0,0,40
541,GJMaxwell,12,16,9,2,0,133.33
542,DAMiller,43,53,37,3,1,116.21
543,GJBailey(c),21,38,18,1,0,116.66
544,WPSaha?Çá,12,21,12,1,0,100
545,ARPatel,0,1,1,0,0,0
546,MGJohnson,8,5,4,0,1,200
547,AMRahane,91,99,54,9,3,168.51
548,SRWatson(c),21,35,24,4,0,87.5
549,KKNair,61,56,38,6,2,160.52
550,JPFaulkner,8,8,4,1,0,200
552,MAAgarwal,11,12,8,1,1,137.5
553,SSIyer,9,21,12,2,0,75
554,JPDuminy(c),56,82,39,3,3,143.58
555,YuvrajSingh,22,24,18,4,0,122.22
556,ADMathews,16,25,17,2,0,94.11
557,KMJadhav?Çá,11,10,7,0,1,157.14
558,SSTiwary,28,24,14,1,2,200
559,NMCoulter-Nile,6,5,2,0,1,300
560,AMishra,1,6,3,0,0,33.33
561,DRSmith,0,4,6,0,0,0
562,BBMcCullum,20,25,15,4,0,133.33
563,SKRaina,52,72,46,5,1,113.04
564,FduPlessis,24,47,20,0,1,120
565,MSDhoni(c)?Çá,29,22,18,2,2,161.11
566,RAJadeja,3,11,4,0,0,75
567,PNegi,13,15,7,1,1,185.71
568,DJBravo,2,6,3,0,0,66.66
569,MMSharma,0,3,0,0,0,-
570,ANehra,0,1,1,0,0,0
572,NJMaddinson,4,8,7,1,0,57.14
573,VKohli(c),48,67,44,2,1,109.09
574,ABdeVilliers,21,12,14,5,0,150
575,MandeepSingh,0,3,0,0,0,-
576,KDKarthik?Çá,23,43,20,4,0,115
577,SNKhan,8,14,8,1,0,100
578,DWiese,17,27,14,2,0,121.42
579,HVPatel,0,1,1,0,0,0
580,MAStarc,1,10,7,0,0,14.28
581,IqbalAbdulla,0,4,3,0,0,0
582,YSChahal,0,2,0,0,0,-
583,RVUthappa?Çá,30,45,27,3,0,111.11
584,GGambhir(c),31,30,23,5,0,134.78
585,MKPandey,33,26,26,1,2,126.92
586,ADRussell,1,3,3,0,0,33.33
587,RNtenDoeschate,8,13,7,0,0,114.28
588,YKPathan,30,37,19,4,0,157.89
589,JBotha,12,15,6,1,1,200
590,SAYadav,6,3,3,1,0,200
591,PPChawla,9,11,6,1,0,150
593,DAWarner(c),4,2,3,1,0,133.33
594,SDhawan,15,25,15,3,0,100
595,NVOjha?Çá,0,2,3,0,0,0
596,MCHenriques,41,70,33,2,2,124.24
597,EJGMorgan,5,15,11,0,0,45.45
598,GHVihari,6,16,12,0,0,50
599,BipulSharma,1,5,2,0,0,50
600,KVSharma,32,27,20,0,3,160
601,PKumar,12,23,16,1,0,75
602,BKumar,11,10,4,1,1,275
603,DWSteyn,1,2,1,0,0,100
604,MAAgarwal,0,1,1,0,0,0
605,SSIyer,19,26,18,3,0,105.55
606,JPDuminy(c),28,30,19,3,2,147.36
607,KMJadhav?Çá,16,26,15,0,1,106.66
608,YuvrajSingh,57,62,44,7,2,129.54
609,ADMathews,12,20,10,0,1,120
610,SSTiwary,13,27,11,2,0,118.18
611,NMCoulter-Nile,3,6,2,0,0,150
613,LMPSimmons,0,1,1,0,0,0
614,PAPatel?Çá,13,41,13,1,0,100
615,HHPandya,5,9,8,1,0,62.5
616,RGSharma(c),46,108,37,2,3,124.32
617,HarbhajanSingh,5,4,4,1,0,125
