,BATSMEN,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
5002,BipulSharma,21,12,14,2,1,150,10.5,1,1,0,0,0,12.5
5003,SVSamson,19,33,18,2,1,105.55,9.5,1,1,0,0,0,11.5
5004,SWBillings,55,63,40,9,0,137.5,27.5,4.5,0,4,0,0,36
5005,KKNair,0,3,3,0,0,0,0,0,0,0,0,-3,-3
5006,SSIyer,22,19,17,3,0,129.41,11,1.5,0,0,0,0,12.5
5007,RRPant,15,16,9,3,0,166.66,7.5,1.5,0,0,0,0,9
5008,CJAnderson,39,37,22,3,3,177.27,19.5,1.5,3,0,0,0,24
5009,CHMorris,16,17,8,1,1,200,8,0.5,1,0,0,0,9.5
5010,PJCummins,12,8,6,2,0,200,6,1,0,0,0,0,7
5011,MVohra,3,6,6,0,0,50,1.5,0,0,0,0,-2,-0.5
5012,HMAmla,19,22,12,4,0,158.33,9.5,2,0,0,0,0,11.5
5013,WPSaha,7,9,5,1,0,140,3.5,0.5,0,0,0,0,4
5014,EJGMorgan,22,32,20,3,0,110,11,1.5,0,0,0,0,12.5
5015,DAMiller,24,41,28,1,0,85.71,12,0.5,0,0,0,0,12.5
5016,GJMaxwell,0,2,2,0,0,0,0,0,0,0,0,-3,-3
5017,ARPatel,44,42,29,1,3,151.72,22,0.5,3,0,0,0,25.5
5018,MMSharma,13,24,14,1,0,92.85,6.5,0.5,0,0,0,0,7
5019,KCCariappa,1,2,2,0,0,50,0.5,0,0,0,0,-2,-1.5
5020,SandeepSharma,2,2,2,0,0,100,1,0,0,0,0,0,1
5021,DRSmith,0,2,2,0,0,0,0,0,0,0,0,-3,-3
5022,BBMcCullum,64,65,44,6,3,145.45,32,3,3,4,0,0,42
5023,SKRaina,28,49,29,2,0,96.55,14,1,0,0,0,0,15
5024,IshanKishan,11,41,14,1,0,78.57,5.5,0.5,0,0,0,0,6
5025,KDKarthik,48,41,26,2,2,184.61,24,1,2,0,0,0,27
5026,JJRoy,14,12,7,1,1,200,7,0.5,1,0,0,0,8.5
5027,PAPatel,0,1,2,0,0,0,0,0,0,0,0,-3,-3
5028,JCButtler,26,55,24,1,2,108.33,13,0.5,2,0,0,0,15.5
5029,NRana,53,43,36,4,2,147.22,26.5,2,2,4,0,0,34.5
5030,RGSharma,40,51,29,3,1,137.93,20,1.5,1,0,0,0,22.5
5031,KAPollard,39,32,23,2,3,169.56,19.5,1,3,0,0,0,23.5
5032,HHPandya,6,8,3,1,0,200,3,0.5,0,0,0,0,3.5
5033,AMRahane,30,37,25,5,0,120,15,2.5,0,0,0,0,17.5
5034,RATripathi,31,41,23,3,1,134.78,15.5,1.5,1,0,0,0,18
5035,SPDSmith,27,43,24,3,0,112.5,13.5,1.5,0,0,0,0,15
5036,MSDhoni,28,37,25,3,1,112,14,1.5,1,0,0,0,16.5
5037,BAStokes,2,8,3,0,0,66.66,1,0,0,0,0,-1,0
5038,DTChristian,1,3,3,0,0,33.33,0.5,0,0,0,0,-3,-2.5
5039,MKTiwary,27,19,11,3,2,245.45,13.5,1.5,2,0,0,0,17
5040,SNThakur,0,1,1,0,0,0,0,0,0,0,0,-3,-3
5041,JDUnadkat,2,14,5,0,0,40,1,0,0,0,0,-3,-2
5042,VKohli,28,24,19,3,1,147.36,14,1.5,1,0,0,0,16.5
5043,MandeepSingh,0,7,3,0,0,0,0,0,0,0,0,-3,-3
5044,ABdeVilliers,29,39,30,1,2,96.66,14.5,0.5,2,0,0,0,17
5045,KMJadhav,18,45,22,0,0,81.81,9,0,0,0,0,0,9
5046,SRWatson,14,27,18,1,0,77.77,7,0.5,0,0,0,0,7.5
5047,STRBinny,18,17,8,2,1,225,9,1,1,0,0,0,11
5048,PNegi,10,9,7,0,1,142.85,5,0,1,0,0,0,6
5049,AFMilne,2,9,3,0,0,66.66,1,0,0,0,0,-1,0
5050,SBadree,0,1,1,0,0,0,0,0,0,0,0,-3,-3
5051,SAravind,6,7,7,0,0,85.71,3,0,0,0,0,0,3
5052,YSChahal,1,2,2,0,0,50,0.5,0,0,0,0,-2,-1.5
5053,SVSamson,39,35,25,7,0,156,19.5,3.5,0,0,0,0,23
5054,SWBillings,21,27,17,2,0,123.52,10.5,1,0,0,0,0,11.5
5055,KKNair,21,43,27,1,0,77.77,10.5,0.5,0,0,0,0,11
5056,SSIyer,26,25,17,4,0,152.94,13,2,0,0,0,0,15
5057,RRPant,38,26,16,2,4,237.5,19,1,4,0,0,0,24
5058,ADMathews,1,11,4,0,0,25,0.5,0,0,0,0,-3,-2.5
5059,CHMorris,16,14,9,3,0,177.77,8,1.5,0,0,0,0,9.5
5060,PJCummins,3,11,4,0,0,75,1.5,0,0,0,0,0,1.5
5061,MohammedShami,0,1,1,0,0,0,0,0,0,0,0,-3,-3
5062,GGambhir,14,15,12,2,0,116.66,7,1,0,0,0,0,8
5063,CdeGrandhomme,1,3,2,0,0,50,0.5,0,0,0,0,-2,-1.5
5064,RVUthappa,4,6,2,1,0,200,2,0.5,0,0,0,0,2.5
5065,MKPandey,69,95,49,4,3,140.81,34.5,2,3,4,0,0,43.5
5066,YKPathan,59,58,39,6,2,151.28,29.5,3,2,4,0,0,38.5
5067,SAYadav,7,16,9,0,0,77.77,3.5,0,0,0,0,0,3.5
5068,CRWoakes,3,11,5,0,0,60,1.5,0,0,0,0,-1,0.5
5069,SPNarine,1,2,1,0,0,100,0.5,0,0,0,0,0,0.5
5070,DAWarner,70,98,54,7,2,129.62,35,3.5,2,4,0,0,44.5
5071,SDhawan,15,24,15,1,0,100,7.5,0.5,0,0,0,0,8
5072,MCHenriques,9,19,16,0,0,56.25,4.5,0,0,0,0,-2,2.5
5073,YuvrajSingh,0,1,1,0,0,0,0,0,0,0,0,-3,-3
