,POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,NEWPOS
577,78,Rajat  Bhatia,15,10,4,99,26,16.5,80,123.75,0,0,8,3,3.0
578,79,Bharat  Chipli,1,1,0,16,16,16.0,18,88.88,0,0,1,1,3.0
579,80,Dishant  Yagnik,12,9,1,125,34,15.62,96,130.2,0,0,17,2,3.0
580,81,Albie  Morkel,8,3,0,46,23,15.33,37,124.32,0,0,2,3,3.0
581,82,Tillakaratne  Dilshan,5,5,0,76,33,15.2,93,81.72,0,0,12,0,3.0
582,83,Dwayne  Bravo,18,12,4,121,23,15.12,106,114.15,0,0,11,3,3.0
583,84,Debabrata  Das,10,6,1,75,23,15.0,74,101.35,0,0,5,5,3.0
584,85,Amit  Mishra,17,8,2,89,30,14.83,96,92.7,0,0,9,0,3.0
585,86,Dwaraka  Ravi Teja,2,2,1,14,10,14.0,17,82.35,0,0,0,0,3.0
586,87,Arun  Karthik,12,5,2,41,19,13.66,38,107.89,0,0,3,1,3.0
587,88,Gurkeerat  Mann Singh,11,9,1,108,31,13.5,95,113.68,0,0,10,3,3.0
588,89,Mayank  Agarwal,5,5,0,67,29,13.4,62,108.06,0,0,6,3,3.0
589,90,Kumar  Sangakkara,9,9,0,120,28,13.33,136,88.23,0,0,13,0,3.0
590,91,Akshath  Reddy,7,7,0,91,27,13.0,101,90.09,0,0,9,0,3.0
591,92,Ross  Taylor,5,5,0,63,19,12.6,76,82.89,0,0,2,1,3.0
592,93,Owais  Shah,2,2,0,25,24,12.5,23,108.69,0,0,2,0,3.0
593,94,Ajit  Agarkar,4,2,1,12,9,12.0,16,75.0,0,0,0,0,3.0
594,95,James  Faulkner,16,9,4,57,19,11.4,57,100.0,0,0,5,2,3.0
595,96,Morne  Morkel,10,6,1,57,23,11.4,29,196.55,0,0,6,3,3.0
596,97,Manpreet  Gony,8,5,1,45,42,11.25,25,180.0,0,0,4,3,3.0
