,BATSMEN,R,B,4s,6s,SR
55,JCButtler,6,9,0,0,66.66
56,KGowtham,0,2,0,0,0
57,SGopal,18,18,2,0,100
58,DSKulkarni,3,4,0,0,75
59,JDUnadkat,1,2,0,0,50
60,BLaughlin,1,3,0,0,33.33
62,WPSaha,5,5,1,0,100
63,SDhawan,78,57,13,1,136.84
64,KSWilliamson,36,35,3,1,102.85
65,CALynn,22,16,4,0,137.5
66,SPNarine,12,4,0,2,300
67,RVUthappa,29,16,2,3,181.25
68,NRana,16,14,2,0,114.28
69,KDKarthik,26,25,2,1,104
70,RKSingh,2,4,0,0,50
71,ADRussell,88,36,1,11,244.44
72,TKCurran,2,5,0,0,40
74,SRWatson,42,19,3,3,221.05
75,ATRayudu,39,26,3,2,150
76,SKRaina,14,12,0,1,116.66
77,MSDhoni,25,28,1,1,89.28
78,SWBillings,56,23,2,5,243.47
79,RAJadeja,11,7,0,1,157.14
80,DJBravo,11,5,0,1,220
81,AMRahane,45,40,5,0,112.5
82,DJMShort,6,3,1,0,200
83,BAStokes,16,12,1,1,133.33
84,SVSamson,37,22,2,2,168.18
85,JCButtler,29,18,2,2,161.11
86,RATripathi,15,11,0,1,136.36
87,KGowtham,2,1,0,0,200
89,GJMaxwell,17,12,2,1,141.66
90,CMunro,0,0,0,0,
91,RRPant,20,14,3,0,142.85
92,CHMorris,17,7,2,1,242.85
93,VShankar,3,3,0,0,100
94,SSIyer,0,0,0,0,
95,RGSharma,11,10,1,1,110
96,ELewis,29,17,3,2,170.58
97,IshanKishan,9,9,2,0,100
98,SAYadav,28,31,2,1,90.32
99,KHPandya,15,10,2,0,150
100,KAPollard,28,23,3,2,121.73
101,BCJCutting,9,9,1,0,100
102,PJSangwan,0,4,0,0,0
103,MMarkande,6,3,1,0,200
104,JJBumrah,4,5,0,0,80
106,WPSaha,22,20,3,0,110
107,SDhawan,45,28,8,0,160.71
108,KSWilliamson,6,4,1,0,150
109,MKPandey,11,8,1,0,137.5
110,ShakibAlHasan,12,12,1,0,100
111,DJHooda,32,25,1,1,128
112,YKPathan,14,14,2,0,100
113,RashidKhan,0,1,0,0,0
114,SKaul,0,4,0,0,0
115,SandeepSharma,0,2,0,0,0
116,BStanlake,5,2,1,0,250
117,KLRahul,47,30,2,4,156.66
118,MAAgarwal,15,11,3,0,136.36
119,AJFinch,0,1,0,0,0
120,YuvrajSingh,4,4,1,0,100
121,KKNair,29,26,3,0,111.53
122,MPStoinis,11,9,0,1,122.22
123,ARPatel,2,3,0,0,66.66
124,RAshwin,33,21,3,1,157.14
125,AJTye,7,7,0,0,100
126,MMSharma,1,2,0,0,50
127,MujeebUrRahman,0,2,0,0,0
129,QdeKock,45,34,7,1,132.35
130,BBMcCullum,0,1,0,0,0
131,VKohli,21,16,4,0,131.25
132,ABdeVilliers,57,40,2,4,142.5
133,SNKhan,0,1,0,0,0
134,MandeepSingh,22,19,1,0,115.78
135,CRWoakes,1,2,0,0,50
136,WashingtonSundar,9,4,2,0,225
137,SAYadav,53,32,7,1,165.62
138,ELewis,48,28,4,4,171.42
139,IshanKishan,44,23,5,2,191.3
140,RGSharma,18,15,2,0,120
141,KAPollard,0,1,0,0,0
142,KHPandya,11,10,1,0,110
143,HHPandya,2,3,0,0,66.66
144,ADananjaya,4,5,0,0,80
145,MMarkande,4,3,0,0,133.33
147,JJRoy,91,53,6,6,171.69
148,GGambhir,15,16,2,0,93.75
149,RRPant,47,25,6,2,188
150,GJMaxwell,13,6,1,1,216.66
151,SSIyer,27,20,3,1,135
152,RVUthappa,3,8,0,0,37.5
153,CALynn,49,34,7,1,144.11
154,NRana,18,16,2,1,112.5
155,SPNarine,9,10,1,0,90
156,KDKarthik,29,27,2,1,107.4
157,ADRussell,9,5,0,1,180
158,ShubmanGill,3,9,0,0,33.33
159,ShivamMavi,7,8,0,0,87.5
160,MGJohnson,4,5,0,0,80
162,WPSaha,24,15,5,0,160
163,SDhawan,7,7,1,0,100
164,KSWilliamson,50,44,4,1,113.63
165,MKPandey,4,11,0,0,36.36
166,ShakibAlHasan,27,21,2,1,128.57
167,DJHooda,5,9,0,0,55.55
168,YKPathan,17,7,2,1,242.85
169,AMRahane,36,20,6,1,180
170,DJMShort,11,17,1,0,64.7
171,SVSamson,92,45,2,10,204.44
172,BAStokes,27,21,2,1,128.57
173,JCButtler,23,14,2,1,164.28
174,RATripathi,14,5,1,1,280
176,BBMcCullum,4,4,1,0,100
177,QdeKock,26,19,4,0,136.84
178,VKohli,57,30,7,2,190
179,ABdeVilliers,20,18,1,1,111.11
