,Unnamed: 0,0s,4s,6s,Bowling,Econ,M,NB,O,R,Rajasthan Royals Team,Unnamed: 0.1,W,WD,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
588,588,3.0,2.0,0.0,PP Chawla,9.0,0.0,0.0,1.0,9.0,,3,0.0,0.0,0.0,0,0,-1,0.0,-1.0
589,589,6.0,2.0,2.0,SP Narine,9.5,0.0,0.0,4.0,38.0,,4,1.0,3.0,10.0,0,0,-1,0.0,9.0
590,590,7.0,4.0,1.0,AD Russell,9.25,0.0,1.0,4.0,37.0,,5,0.0,0.0,0.0,0,0,-1,0.0,-1.0
591,591,10.0,3.0,1.0,SL Malinga,7.75,0.0,0.0,4.0,31.0,,0,1.0,0.0,10.0,0,0,0,0.0,10.0
592,592,8.0,4.0,0.0,MJ McClenaghan,7.75,0.0,0.0,4.0,31.0,,1,1.0,3.0,10.0,0,0,0,0.0,10.0
593,593,8.0,5.0,0.0,R Vinay Kumar,8.25,0.0,0.0,4.0,33.0,,2,1.0,0.0,10.0,0,0,0,0.0,10.0
594,594,10.0,3.0,1.0,Harbhajan Singh,7.75,0.0,0.0,4.0,31.0,,3,1.0,3.0,10.0,0,0,0,0.0,10.0
595,595,2.0,2.0,1.0,J Suchith,11.5,0.0,0.0,2.0,23.0,,4,1.0,0.0,10.0,0,0,-3,0.0,7.0
596,596,1.0,1.0,0.0,HH Pandya,10.0,0.0,0.0,1.0,10.0,,5,0.0,0.0,0.0,0,0,-2,0.0,-2.0
597,597,4.0,1.0,0.0,KA Pollard,6.0,0.0,0.0,1.0,6.0,,6,1.0,1.0,10.0,0,0,0,0.0,10.0
598,598,4.0,1.0,1.0,MA Starc,8.66,0.0,0.0,3.0,26.0,,0,1.0,0.0,10.0,0,0,0,0.0,10.0
599,599,3.0,4.0,1.0,HV Patel,15.0,0.0,0.0,2.0,30.0,,1,0.0,1.0,0.0,0,0,-3,0.0,-3.0
