,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
32,1,S Sreesanth,4.0,0,24,2,6.0,10,3,0,0,0
33,2,YA Abdulla,4.0,0,30,1,7.5,10,3,1,0,0
34,3,PP Chawla,4.0,0,33,0,8.25,7,4,0,0,0
35,4,Yuvraj Singh,3.0,0,11,0,3.66,7,0,0,0,0
36,5,RR Powar,1.0,0,16,0,16.0,0,2,0,0,0
37,0,CK Langeveldt,4.0,0,27,1,6.75,10,4,0,0,0
38,1,I Sharma,4.0,0,27,0,6.75,12,2,1,1,0
39,2,AD Mathews,4.0,0,19,4,4.75,11,2,0,0,0
40,3,M Kartik,4.0,0,22,2,5.5,10,2,0,0,1
41,4,BJ Hodge,1.0,0,11,0,11.0,1,0,1,0,0
42,5,SC Ganguly,2.0,0,18,0,9.0,1,2,0,0,0
43,6,RS Gavaskar,1.0,0,8,0,8.0,2,1,0,0,0
44,0,P Kumar,4.0,0,16,1,4.0,12,1,0,0,0
45,1,JH Kallis,3.0,0,34,0,11.33,5,4,1,0,0
46,2,DW Steyn,4.0,0,38,0,9.5,11,4,2,2,0
47,3,A Kumble,4.0,0,19,0,4.75,14,3,0,0,0
48,4,RE van der Merwe,4.0,0,27,2,6.75,8,2,0,3,0
49,5,V Kohli,0.2,0,1,0,3.0,1,0,0,0,0
50,0,JA Morkel,4.0,0,41,0,10.25,8,4,2,1,0
51,1,S Tyagi,1.5,0,39,0,21.27,1,4,3,0,2
52,2,M Muralitharan,4.0,0,28,0,7.0,12,2,1,4,0
53,3,R Ashwin,4.0,0,26,1,6.5,10,3,0,2,0
54,4,L Balaji,4.0,0,36,0,9.0,9,3,2,1,0
55,5,JM Kemp,2.1,0,15,0,6.92,6,2,0,1,0
56,0,WPUJC Vaas,4.0,1,21,3,5.25,13,1,1,0,0
57,1,RG Sharma,4.0,0,27,1,6.75,10,0,2,0,0
58,2,RP Singh,3.0,0,30,1,10.0,6,2,2,2,0
59,3,PP Ojha,4.0,0,28,2,7.0,8,0,2,0,0
60,4,Jaskaran Singh,1.0,0,16,0,16.0,2,3,0,1,0
61,5,TL Suman,1.0,0,8,0,8.0,1,1,0,0,0
62,6,A Symonds,3.0,0,29,2,9.66,4,0,3,0,0
63,0,MF Maharoof,4.0,0,32,1,8.0,10,5,0,1,0
64,1,DP Nannes,4.0,0,27,1,6.75,11,4,0,1,0
65,2,A Mishra,4.0,0,34,1,8.5,9,2,2,0,0
66,3,PJ Sangwan,4.0,0,20,1,5.0,13,2,0,2,0
67,4,S Ladda,4.0,0,28,0,7.0,11,1,2,1,0
68,0,AD Mascarenhas,4.0,0,31,2,7.75,10,3,1,0,0
69,1,SW Tait,4.0,0,26,0,6.5,13,3,0,4,0
70,2,MM Patel,3.0,0,32,1,10.66,6,3,2,0,0
71,3,A Uniyal,2.0,0,25,0,12.5,3,2,2,0,0
72,4,SK Warne,4.0,0,22,1,5.5,6,1,0,0,0
73,5,AA Jhunjhunwala,0.1,0,2,0,12.0,0,0,0,0,0
74,0,P Kumar,4.0,0,43,1,10.75,10,6,1,4,0
75,1,DW Steyn,4.0,0,36,1,9.0,8,4,0,2,0
76,2,JH Kallis,4.0,0,39,1,9.75,9,4,2,1,0
77,3,A Kumble,4.0,0,40,0,10.0,7,2,3,1,0
78,4,R Vinay Kumar,2.0,0,19,0,9.5,3,1,1,1,0
79,5,V Kohli,2.0,0,23,0,11.5,2,3,0,0,1
80,0,IK Pathan,3.0,0,33,0,11.0,7,4,2,0,0
81,1,S Sreesanth,3.0,0,42,0,14.0,6,2,3,3,1
82,2,YA Abdulla,2.5,0,36,0,12.7,4,4,2,1,0
83,3,PP Chawla,3.0,0,20,1,6.66,6,2,0,0,0
84,4,Yuvraj Singh,2.0,0,18,0,9.0,5,0,2,0,0
85,5,Bipul Sharma,3.0,0,37,1,12.33,5,2,3,0,0
86,6,RS Bopara,2.0,0,17,0,8.5,4,1,1,0,0
87,0,SE Bond,4.0,0,33,0,8.25,10,4,1,0,0
88,1,I Sharma,4.0,0,38,1,9.5,9,5,1,0,0
89,2,AD Mathews,3.0,0,29,0,9.66,2,2,1,0,0
90,3,LR Shukla,4.0,0,37,1,9.25,8,5,1,0,0
91,4,M Kartik,4.0,0,21,0,5.25,10,0,0,1,0
92,5,BJ Hodge,1.0,0,4,1,4.0,3,0,0,0,0
93,0,JA Morkel,2.0,1,6,1,3.0,10,1,0,1,0
94,1,MS Gony,3.0,0,33,1,11.0,7,7,0,0,0
95,2,L Balaji,2.2,0,9,2,3.85,8,1,0,0,0
96,3,M Muralitharan,4.0,0,16,1,4.0,13,1,0,1,0
97,4,JM Kemp,3.0,0,12,3,4.0,10,1,0,1,0
98,5,R Ashwin,4.0,0,22,1,5.5,11,3,0,0,0
99,6,SK Raina,1.0,0,6,0,6.0,2,0,0,0,0
100,0,DP Nannes,4.0,0,35,0,8.75,9,3,1,1,1
101,1,MF Maharoof,4.0,0,50,2,12.5,6,8,0,1,1
102,2,PJ Sangwan,4.0,0,41,1,10.25,8,1,3,2,0
103,3,S Ladda,4.0,0,44,2,11.0,5,4,2,0,0
104,4,A Mishra,4.0,0,44,1,11.0,6,3,3,1,0
105,0,Z Khan,2.0,0,20,0,10.0,2,3,0,0,0
