,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
341,0,TG Southee,4,0,34,0,8.5,7,4,0,2,0
342,1,UT Yadav,3.1,0,36,0,11.36,7,3,3,0,0
343,2,YS Chahal,4,0,29,0,7.25,10,3,1,0,0
344,3,Mohammed Siraj,4,0,40,2,10,8,4,1,4,0
345,4,M Ashwin,4,0,36,2,9,8,4,1,1,0
346,0,TA Boult,4,0,48,0,12,10,6,3,0,0
347,1,Avesh Khan,4,0,28,0,7,11,1,2,1,0
348,2,R Tewatia,2,0,23,0,11.5,2,1,2,0,0
349,3,LE Plunkett,3,0,52,0,17.33,2,2,6,0,0
350,4,A Mishra,4,0,30,1,7.5,4,1,1,0,0
351,5,V Shankar,2,0,22,1,11,4,3,0,2,1
352,6,GJ Maxwell,1,0,5,1,5,2,0,0,0,0
353,0,L Ngidi,4,0,26,1,6.5,12,2,1,2,0
354,1,KM Asif,3,0,43,2,14.33,5,6,2,1,0
355,2,SR Watson,2,0,27,0,13.5,2,2,2,0,0
356,3,RA Jadeja,4,0,31,1,7.75,6,2,1,1,0
357,4,Harbhajan Singh,4,0,26,0,6.5,8,1,1,1,0
358,5,DJ Bravo,3,0,43,0,14.33,3,2,4,1,0
359,0,JP Duminy,2,0,28,0,14,5,2,3,0,0
360,1,MJ McClenaghan,4,0,34,1,8.5,13,1,3,1,1
361,2,JJ Bumrah,4,0,22,1,5.5,9,0,1,0,0
362,3,KH Pandya,4,0,24,0,6,11,1,1,0,0
363,4,M Markande,3,0,28,1,9.33,7,4,1,0,0
364,5,HH Pandya,3,0,28,3,9.33,8,2,2,0,1
365,0,TG Southee,4,0,25,2,6.25,14,3,1,1,0
366,1,UT Yadav,4,0,29,2,7.25,11,3,0,2,0
367,2,Mohammed Siraj,4,0,28,2,7,7,2,0,3,0
368,3,YS Chahal,4,0,23,0,5.75,14,2,0,3,0
369,4,Washington Sundar,1,0,15,0,15,0,1,1,0,0
370,5,C de Grandhomme,3,0,28,0,9.33,7,2,1,1,0
371,0,DS Kulkarni,3,0,37,1,12.33,9,3,3,3,0
372,1,JC Archer,3.1,0,31,1,9.78,9,3,2,1,0
373,2,K Gowtham,2,0,27,0,13.5,2,4,1,0,0
374,3,JD Unadkat,4,0,46,3,11.5,7,4,2,0,0
375,4,S Gopal,2,0,26,1,13,6,0,4,0,0
376,5,BA Stokes,3,0,28,0,9.33,4,2,1,2,0
377,0,S Nadeem,1,0,13,0,13,1,1,1,0,0
378,1,TA Boult,3,0,26,2,8.66,5,3,0,3,0
379,2,Avesh Khan,2,0,36,0,18,2,2,4,0,0
380,3,LE Plunkett,3,0,37,0,12.33,5,3,3,0,0
381,4,A Mishra,2,0,12,1,6,5,0,1,0,0
382,5,GJ Maxwell,1,0,21,1,21,1,0,3,0,0
383,0,MG Johnson,4,0,51,0,12.75,6,4,4,0,0
384,1,PP Chawla,4,0,35,2,8.75,12,7,0,0,0
385,2,Shivam Mavi,3,0,21,0,7,6,1,1,1,0
386,3,SP Narine,4,0,20,2,5,10,2,0,0,0
387,4,AD Russell,1,0,12,0,12,1,2,0,1,0
388,5,Kuldeep Yadav,4,0,34,1,8.5,5,1,2,1,0
389,0,L Ngidi,3,0,36,1,12,5,4,2,1,0
390,1,KM Asif,3,0,32,1,10.66,11,1,4,1,0
391,2,SR Watson,2,0,19,0,9.5,6,4,0,1,0
392,3,RA Jadeja,4,0,39,1,9.75,7,2,1,2,0
393,4,Harbhajan Singh,3,0,20,1,6.66,10,4,0,0,0
394,5,DJ Bravo,1.4,0,22,0,13.2,3,4,0,2,0
