,0s,4s,6s,Bowling,Econ,M,NB,O,Pune Warriors Team,R,Unnamed: 0,W,WD
57,10.0,3.0,0.0,NJ Rimmington,6.33,0.0,0.0,3.0,,19.0,1,0.0,0.0
58,8.0,5.0,0.0,R McLaren,8.66,0.0,0.0,3.0,,26.0,2,1.0,0.0
59,3.0,1.0,1.0,PP Chawla,12.0,0.0,0.0,1.0,,12.0,3,0.0,0.0
60,8.0,3.0,1.0,AM Nayar,8.52,0.0,0.0,3.1,,27.0,4,1.0,2.0
61,11.0,6.0,0.0,DW Steyn,8.25,0.0,0.0,4.0,,33.0,0,1.0,1.0
62,6.0,5.0,0.0,I Sharma,9.0,0.0,0.0,3.0,,27.0,1,0.0,0.0
63,4.0,3.0,0.0,DT Christian,9.5,0.0,0.0,2.0,,19.0,2,0.0,1.0
64,12.0,2.0,0.0,A Mishra,4.75,0.0,0.0,4.0,,19.0,3,2.0,0.0
65,10.0,3.0,0.0,PP Ojha,6.5,0.0,0.0,4.0,,26.0,4,0.0,1.0
66,1.0,1.0,0.0,DB Ravi Teja,9.0,0.0,0.0,1.0,,9.0,5,0.0,0.0
67,5.0,0.0,3.0,JP Duminy,11.5,0.0,0.0,2.0,,23.0,6,1.0,0.0
68,13.0,2.0,1.0,Iqbal Abdulla,6.0,0.0,0.0,4.0,,24.0,0,3.0,0.0
69,8.0,3.0,1.0,L Balaji,7.75,0.0,0.0,4.0,,31.0,1,0.0,1.0
70,8.0,2.0,1.0,YK Pathan,7.33,0.0,0.0,3.0,,22.0,2,0.0,0.0
71,9.0,2.0,2.0,JD Unadkat,9.0,0.0,0.0,4.0,,36.0,3,2.0,2.0
72,7.0,4.0,0.0,R Bhatia,7.25,0.0,0.0,4.0,,29.0,4,2.0,0.0
73,0.0,0.0,0.0,RN ten Doeschate,7.0,0.0,0.0,1.0,,7.0,5,0.0,1.0
74,10.0,6.0,1.0,SW Tait,10.0,0.0,1.0,4.0,,40.0,0,2.0,0.0
75,17.0,3.0,0.0,A Singh,4.5,1.0,0.0,4.0,,18.0,1,1.0,1.0
76,9.0,1.0,3.0,J Botha,9.0,0.0,0.0,4.0,,36.0,2,0.0,0.0
77,8.0,2.0,2.0,SK Trivedi,9.0,0.0,0.0,4.0,,36.0,3,1.0,2.0
78,16.0,2.0,0.0,SK Warne,4.25,0.0,0.0,4.0,,17.0,4,2.0,0.0
79,10.0,5.0,1.0,AB Dinda,9.71,0.0,2.0,3.3,,34.0,0,1.0,0.0
80,14.0,0.0,0.0,M Morkel,2.75,0.0,0.0,4.0,,11.0,1,1.0,0.0
81,8.0,2.0,3.0,IK Pathan,10.66,0.0,0.0,3.0,,32.0,2,1.0,1.0
82,5.0,5.0,1.0,RE van der Merwe,10.25,0.0,0.0,4.0,,41.0,3,1.0,0.0
83,10.0,1.0,1.0,S Nadeem,6.25,0.0,0.0,4.0,,25.0,4,0.0,0.0
84,11.0,4.0,1.0,SL Malinga,8.0,0.0,0.0,4.0,,32.0,0,2.0,1.0
85,9.0,0.0,0.0,MM Patel,3.33,0.0,0.0,3.0,,10.0,1,0.0,0.0
86,11.0,2.0,1.0,KA Pollard,6.25,0.0,0.0,4.0,,25.0,2,2.0,1.0
87,9.0,2.0,1.0,AG Murtaza,6.5,0.0,0.0,4.0,,26.0,3,0.0,0.0
88,8.0,3.0,0.0,Harbhajan Singh,6.75,0.0,0.0,4.0,,27.0,4,0.0,2.0
89,0.0,1.0,0.0,JEC Franklin,9.0,0.0,0.0,1.0,,9.0,5,0.0,0.0
90,14.0,5.0,2.0,Z Khan,9.0,0.0,0.0,4.0,,36.0,0,0.0,1.0
91,11.0,1.0,0.0,DL Vettori,4.5,0.0,0.0,4.0,,18.0,1,0.0,0.0
